profondeur,type_roche,ph,conductivite,distance_faille,humidite,teneur_or
32.64,Basalte,6.02,445.39,892.75,28.01,2.7
294.0,Granit,5.51,495.45,276.99,25.43,17.96
457.18,Schiste,6.12,288.61,242.14,18.71,13.45
96.9,Schiste,5.54,389.59,869.57,20.23,0.7
13.45,Granit,7.11,430.93,625.4,13.01,3.82
404.69,Calcaire,8.09,353.48,1.45,7.23,18.05
47.63,Basalte,8.04,31.64,353.13,14.93,0.0
212.72,Gabbro,6.14,87.24,857.86,19.87,0.0
342.65,Schiste,8.95,44.78,27.32,6.72,6.46
126.03,Gabbro,7.17,14.84,3.25,7.65,5.89
51.14,Granit,6.3,159.94,281.26,12.89,2.64
387.31,Gabbro,8.26,202.25,914.0,16.01,0.0
318.79,Gabbro,7.78,128.1,901.48,16.8,0.0
494.36,Basalte,7.87,41.66,518.76,8.54,0.0
178.71,Granit,5.38,269.63,553.24,11.77,2.35
40.26,Gabbro,6.61,143.93,332.01,12.85,2.9
369.83,Schiste,8.38,400.06,243.74,7.03,12.8
265.65,Granit,6.77,13.95,815.22,14.78,0.0
114.47,Schiste,7.58,422.84,106.29,7.17,14.15
393.05,Calcaire,7.15,477.83,487.35,26.1,15.69
109.84,Gabbro,8.29,360.91,634.4,16.58,5.33
137.72,Granit,5.78,369.49,103.68,14.8,14.17
55.34,Schiste,7.09,467.45,519.61,8.8,6.66
205.72,Gabbro,5.05,112.44,577.52,11.8,0.0
215.28,Basalte,7.61,497.34,742.5,11.98,5.79
262.14,Schiste,7.79,389.01,234.84,34.56,18.0
357.39,Schiste,4.69,366.02,293.33,30.06,16.44
453.99,Calcaire,7.54,186.93,569.52,5.46,1.41
77.49,Basalte,6.37,277.43,983.13,23.51,0.0
36.63,Calcaire,5.06,330.42,217.49,12.68,11.14
19.08,Basalte,6.39,313.97,985.9,8.13,0.0
80.37,Schiste,5.37,355.44,714.34,26.17,3.5
332.4,Calcaire,6.37,50.37,826.08,8.95,0.0
366.46,Gabbro,6.23,184.27,89.64,18.31,13.74
395.39,Basalte,7.82,222.66,300.42,23.96,10.73
129.42,Schiste,7.98,137.71,57.74,21.63,9.84
159.89,Granit,7.23,94.59,371.55,34.33,4.74
246.74,Basalte,4.6,78.07,981.29,28.57,0.0
40.96,Basalte,8.69,189.53,105.27,28.23,10.7
309.46,Gabbro,7.59,251.79,562.37,15.67,4.8
492.03,Basalte,4.65,40.86,6.07,5.25,8.64
186.8,Basalte,8.18,473.76,712.68,27.03,8.31
378.9,Gabbro,5.4,384.97,197.19,34.99,21.03
255.02,Gabbro,7.11,368.12,129.58,17.18,16.89
72.63,Calcaire,6.6,94.7,337.02,34.57,5.76
295.3,Schiste,6.39,305.86,771.04,9.25,0.0
156.94,Schiste,8.5,269.57,106.61,13.9,10.88
26.86,Calcaire,6.47,491.41,229.84,10.12,14.84
321.12,Schiste,4.84,376.36,8.46,19.26,19.81
430.88,Basalte,8.76,292.12,968.41,28.91,1.16
178.94,Calcaire,8.64,426.9,592.15,15.22,8.06
201.24,Calcaire,7.58,86.0,719.9,32.19,0.0
446.6,Schiste,6.61,17.46,651.38,21.34,0.0
408.67,Granit,4.92,348.21,144.36,18.96,16.33
360.33,Schiste,8.06,58.17,594.94,28.61,0.0
131.91,Granit,4.84,66.56,131.42,8.04,2.98
